SkillName	SkillID	Design_Belong	Design_Effect	MaxLevel	KindType	FunctionType	UIType	BelongKungfu	BelongSchool	CastMode	WeaponRequest	IsCostAmmo	CostItemType	CostItemIndex	MountRequestType	MountRequestDetail	MountType	IsMountAble	IsPassiveSkill	IsChannelSkill	IsExpSkill	IsExactHit	IsInstinct	IsAutoTurn	CauseAbradeEquipment	CauseBeatBreak	CauseBeatBack	HasCriticalStrike	SkillEventMask1	SkillEventMask2	SkillCastFlag	UseCastScript	Use3DObstacle	CheckReachable	IgnorePositiveShield	IgnoreNegativeShield	NeedOutOfFight	SelfOnFear	SelfHorseStateRequest	TargetTypePlayer	TargetTypeNpc	TargetRelationNone	TargetRelationSelf	TargetRelationAlly	TargetRelationEnemy	TargetRelationDialog	TargetRelationNeutrality	TargetRelationParty	TargetRelationRaid	TargetHorseStateRequest	TargetOnFear	AutoSelectTarget	NPCWeaponType	CommonSkillActiveMode	IsBindCombatTag	EffectPlayType	ScriptFile	_ScriptFileHashID	EffectType	CheckBindBuff	MountRequestDetailLevel	CastMask	SelfMoveStateMask	TargetMoveStateMask	RecipeType	MapBanMask	SkillMark	SelfBackupMoveStateMask	TargetRelationMentor	TargetRelationApprentice	KungfuMountID	HorseMask	PetTemplateID	TargetNpcSpeciesMask	SelfSprintStateRequest	SelfTerrainStateRequest	SelfFollowStateRequest	IgnoreCamp	TargetFollowStateRequest	IsCheckStealth	SelfMoveStateMask2	SelfBackupMoveStateMask2	TargetMoveStateMask2	Pos	CanReverse	CanCastOnTower	TargetRelationTeamGroup	TargetJumpCountMask	IgnoreSilence	LongRange	BelongDynamicGroupID	IsTherapy	CanKeepHoard	CanCastWithHoard	CanAddMaxRadius	KillRushCanCastMode	MinSelectTargetCount	MaxSelectTargetCount	SkillEventMask3	UseDamageScalingCompression	IgnoreImmunityCast
南诏皇宫_阁罗凤_一阳指·二品_打断AOE	4770	测试技能	直接伤害技能	2	SolarMagic	Normal	2	10246	12	CasterArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	561	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_阁罗凤_一阳指·二品_打断AOE.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	510	NotInSprint	Any		0		0	7	0	7	0	0	0														1	
南诏皇宫_萧杀_边界齿轮撕裂	4771	测试技能	直接伤害技能	2	Physics	Damage	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	11	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_萧杀_边界齿轮撕裂.lua		Harmful	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_阁罗凤_霸皇刀法·刀影	4772	测试技能	直接伤害技能	2	Physics	Normal	2	10246	12	PointArea	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	518	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_阁罗凤_霸皇刀法·刀影.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	510	NotInSprint	Any		0		0	7	0	7	0	0	0														1	
南诏皇宫_阁罗凤_狼隐咆哮_无狼魂	4773	测试技能	直接伤害技能	2	Physics	Damage	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	519	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_阁罗凤_狼隐咆哮_无狼魂.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_阁罗凤_狼隐咆哮_狼魂1层	4774	测试技能	直接伤害技能	2	Physics	Damage	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	519	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_阁罗凤_狼隐咆哮_狼魂1层.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_阁罗凤_狼隐咆哮_狼魂2层	4775	测试技能	直接伤害技能	10	Physics	Damage	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	519	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_阁罗凤_狼隐咆哮_狼魂2层.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_阁罗凤_狼隐咆哮_狼魂3层	4776	测试技能	直接伤害技能	2	Physics	Damage	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	519	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_阁罗凤_狼隐咆哮_狼魂3层.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_阁罗凤_狼隐咆哮_狼魂4层	4777	测试技能	直接伤害技能	2	Physics	Damage	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	519	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_阁罗凤_狼隐咆哮_狼魂4层.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_阁罗凤_狼隐咆哮_狼魂5层	4778	测试技能	直接伤害技能	2	Physics	Damage	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	519	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_阁罗凤_狼隐咆哮_狼魂5层.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_阁罗凤_狼隐咆哮_被驱散	4780	测试技能	直接伤害技能	1	Physics	Normal	2	10246	12	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_阁罗凤_狼隐咆哮_被驱散.lua		Neutral	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		0	7	0	7	0	0	0														1	
南诏皇宫_枯荣大师_点燃_化冰	4781	测试技能	直接伤害技能	2	SolarMagic	Normal	2	10246	12	CasterArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	529	0	0	0	0	0	0	0	0	0	NotHorse	1	0	0	1	0	0	0	0	1	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_枯荣大师_点燃_化冰.lua		Neutral	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		0	7	0	7	0	0	0														1	
小橙武BOSS_明教_日炎追击读条	4782	测试技能	直接伤害技能	1	Physics	Normal	2	10250	12	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	NotHorse	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\小橙武BOSS\小橙武BOSS_明教_日炎追击读条.lua		Neutral	0	0	0	16638	1006649598	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		0	7	0	7	0	0	0														1	
南诏皇宫_军阵_敌军刀斧卫_普通攻击	4783	测试技能	直接伤害技能	6	Physics	Normal	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军刀斧卫_普通攻击.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_军阵_敌军刀斧卫_普通攻击_高伤害	4784	测试技能	直接伤害技能	6	Physics	Normal	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军刀斧卫_普通攻击_高伤害.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_军阵_敌军刀斧卫_普通攻击_中伤害	4785	测试技能	直接伤害技能	6	Physics	Normal	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131587	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军刀斧卫_普通攻击_中伤害.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_军阵_敌军刀斧卫_普通攻击_低伤害	4786	测试技能	直接伤害技能	6	Physics	Normal	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131587	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军刀斧卫_普通攻击_低伤害.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_军阵_敌军刀斧卫_普通攻击_高伤害_大阵	4787	测试技能	直接伤害技能	6	Physics	Normal	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131587	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军刀斧卫_普通攻击_高伤害_大阵.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_军阵_敌军刀斧卫_普通攻击_高伤害_中阵	4788	测试技能	直接伤害技能	6	Physics	Normal	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131587	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军刀斧卫_普通攻击_高伤害_中阵.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_军阵_敌军刀斧卫_普通攻击_高伤害_散阵	4789	测试技能	直接伤害技能	6	Physics	Normal	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131587	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军刀斧卫_普通攻击_高伤害_散阵.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_军阵_敌军刀斧卫_普通攻击_低伤害_大阵	4790	测试技能	直接伤害技能	6	Physics	Normal	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131587	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军刀斧卫_普通攻击_低伤害_大阵.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_军阵_敌军刀斧卫_普通攻击_低伤害_中阵	4791	测试技能	直接伤害技能	6	Physics	Normal	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131587	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军刀斧卫_普通攻击_低伤害_中阵.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_军阵_敌军刀斧卫_普通攻击_低伤害_散阵	4792	测试技能	直接伤害技能	6	Physics	Normal	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131587	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军刀斧卫_普通攻击_低伤害_散阵.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
罗伞戏鱼渊	4793	测试技能	直接伤害技能	1	None	Normal	1	10105	16	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	NotHorse	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	装备\罗伞戏鱼渊.lua		Neutral	0	0	0	16638	1006649598	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any				0	7	0	7	0	0	0															
南诏皇宫_军阵_敌军刀斧卫_破山击	4794	测试技能	直接伤害技能	1	Physics	Normal	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16903	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军刀斧卫_破山击.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_军阵_敌军铁枪卫_突刺	4795	测试技能	直接伤害技能	1	Physics	Damage	2	10246	12	Rectangle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军铁枪卫_突刺.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		0	7	0	7	0	0	0														1	
南诏皇宫_军阵_敌军骑兵卫_践踏	4796	测试技能	直接伤害技能	1	Physics	Damage	2	10246	12	CasterArea	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军骑兵卫_践踏.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		0	7	0	7	0	0	0														1	
南诏皇宫_军阵_敌军恶尸_毒性皮肤	4797	测试技能	直接伤害技能	1	Physics	Normal	2	10246	12	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	NotHorse	0	1	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军恶尸_毒性皮肤.lua		Beneficial	0	0	0	16638	1006649598	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		0	7	0	7	0	0	0														1	
南诏皇宫_军阵_敌军恶尸_毒性皮肤_伤害	4798	测试技能	直接伤害技能	1	LunarMagic	Normal	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军恶尸_毒性皮肤_伤害.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_军阵_敌军铁盾兵_盾击	4799	测试技能	直接伤害技能	1	Physics	Normal	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军铁盾兵_盾击.lua		Harmful	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_军阵_敌军铁盾兵_删除BUFF	4800	测试技能	直接伤害技能	1	Physics	Normal	2	10246	12	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	NotHorse	0	1	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_军阵_敌军铁盾兵_盾击_删除BUFF.lua		Neutral	0	0	0	16638	1006649598	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		0	7	0	7	0	0	0														1	
南诏皇宫_泰崇傣_肘击_友方NPC	4801	测试技能	直接伤害技能	2	Physics	Normal	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	NotHorse	0	1	0	0	1	0	0	0	1	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_泰崇傣_肘击_友方NPC.lua		Neutral	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_阁罗凤_一阳指·二品_释放	4802	测试技能	直接伤害技能	2	Physics	Normal	2	10246	12	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	NotHorse	0	1	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_阁罗凤_一阳指·二品_释放.lua		Neutral	0	0	0	16638	1006649598	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		0	7	0	7	0	0	0														1	
T0套装明教内功伤害招式加AP	4803	测试技能	直接伤害技能	1	NeutralMagic	Normal	2	10134	16	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8705	0	0	0	0	0	0	1	0	0	Any	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	装备\明教内功伤害招式加AP.lua		Beneficial	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0															
明教内功增加会心buff	4804	测试技能	直接伤害技能	9	Physics	Normal	2	10135	16	CasterSingle	0	0	Invalid	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Any	1	0	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	装备\T系列增加会心buff.lua		Neutral	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0		NotInSprint	Any				0	7	0	7	0	0	0															
南诏皇宫_阁罗凤_破绽	4805	测试技能	直接伤害技能	1	Physics	Normal	2	10246	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_阁罗凤_破绽.lua		Neutral	0	0	0	4095998	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
明教密道_颤地吼	4806	测试技能	直接伤害技能	2	Physics	Damage	2	10245	12	CasterArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1031	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\明教密道\颤地吼.lua		Harmful	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		0	7	0	7	0	0	0														1	
明教密道_搜索	4807	测试技能	直接伤害技能	2	Physics	Damage	2	10245	12	CasterArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1031	0	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\明教密道\搜索.lua		Harmful	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		0	7	0	7	0	0	0														1	
明教密道_绳索	4808	测试技能	直接伤害技能	1	Physics	Normal	2	10245	12	TargetChain	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	NotHorse	0	1	1	0	1	0	1	0	1	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\明教密道\绳索.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
明教密道_绞喉1	4809	测试技能	直接伤害技能	1	Physics	Normal	2	10245	12	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	NotHorse	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\明教密道\绞喉1.lua		Neutral	0	0	0	16638	1006649598	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any				0	7	0	7	0	0	0														1	
明教密道_绞喉2	4810	测试技能	直接伤害技能	2	Physics	Normal	2	10245	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	513	0	0	0	0	0	1	1	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\明教密道\绞喉2.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any				1	7	0	7	0	0	0														1	
明教密道_老鼠肉	4811	测试技能	直接伤害技能	1	None	Normal	2	10245	12	PointArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	NotHorse	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\明教密道\老鼠肉.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		0	7	0	7	0	0	0														1	
明教密道_射击	4812	测试技能	直接伤害技能	2	Physics	Damage	2	10245	12	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	NotHorse	0	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\明教密道\射击.lua		Harmful	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_4号_易筋经残篇	4813	测试技能	直接伤害技能	2	SolarMagic	Normal	2	10246	12	CasterArea	0	0	Invalid	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1073	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_4号_易筋经残篇.lua		Harmful	0	0	0	16514	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		0	4	0	7	0	0	0														1	
南诏皇宫_2号_链状表现	4814	测试技能	直接伤害技能	2	Physics	Normal	2	10246	12	TargetChain	0	0	Invalid	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	NotHorse	1	1	1	0	1	1	1	1	1	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_2号_链状表现.lua		Neutral	0	0	0	16638	1010728958	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		1	7	0	7	0	0	0														1	
南诏皇宫_4号_易筋经残篇_被打断	4815	测试技能	直接伤害技能	1	Physics	Normal	2	10246	12	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NotHorse	0	1	0	1	0	0	0	0	0	0	Any	1	0	0	Invalid	0	AniAndSfx	npc\副本BOSS\南诏皇宫\南诏皇宫_4号_易筋经残篇_被打断.lua		Beneficial	0	0	0	16514	1006649474	0	0	1	0	0	0	0	0	0	1534	NotInSprint	Any		0		0	4	0	4	0	0	0														1	
